==================================================
Task Execution Time : 2026-05-22 22:48:34
Task Identifier     : AUS_I_22_current_0
Requested Target    : current
Actual Capture Date : 2023-01-30
Zoom Level          : 18
Bounding Box (4326) : (np.float64(117.55113599999993), np.float64(-23.27588495800204), np.float64(117.63902699999993), np.float64(-23.216027957973917))
Total Patches Found : 706
--------------------------------------------------
[Original Log Entries]
T46 ges_108337_57061_18.jpg: 2023-01-30 Ok
T48 ges_108337_57063_18.jpg: 2023-01-30 Ok
T47 ges_108337_57062_18.jpg: 2023-01-30 Ok
T49 ges_108337_57064_18.jpg: 2023-01-30 Ok
T50 ges_108337_57065_18.jpg: 2023-01-30 Ok
T51 ges_108337_57066_18.jpg: 2023-01-30 Ok
T52 ges_108337_57067_18.jpg: 2023-01-30 Ok
T54 ges_108337_57069_18.jpg: 2023-01-30 Ok
T53 ges_108337_57068_18.jpg: 2023-01-30 Ok
T55 ges_108337_57070_18.jpg: 2023-01-30 Ok
T56 ges_108337_57071_18.jpg: 2023-01-30 Ok
T58 ges_108337_57073_18.jpg: 2023-01-30 Ok
T57 ges_108337_57072_18.jpg: 2023-01-30 Ok
T59 ges_108337_57074_18.jpg: 2023-01-30 Ok
T60 ges_108337_57075_18.jpg: 2023-01-30 Ok
T61 ges_108337_57076_18.jpg: 2023-01-30 Ok
T62 ges_108337_57077_18.jpg: 2023-01-30 Ok
T63 ges_108337_57078_18.jpg: 2023-01-30 Ok
T64 ges_108337_57079_18.jpg: 2023-01-30 Ok
T65 ges_108337_57080_18.jpg: 2023-01-30 Ok
T66 ges_108337_57081_18.jpg: 2023-01-30 Ok
T67 ges_108337_57082_18.jpg: 2023-01-30 Ok
T68 ges_108337_57083_18.jpg: 2023-01-30 Ok
T69 ges_108338_57061_18.jpg: 2023-01-30 Ok
T70 ges_108338_57062_18.jpg: 2023-01-30 Ok
T71 ges_108338_57063_18.jpg: 2023-01-30 Ok
T72 ges_108338_57064_18.jpg: 2023-01-30 Ok
T73 ges_108338_57065_18.jpg: 2023-01-30 Ok
T74 ges_108338_57066_18.jpg: 2023-01-30 Ok
T75 ges_108338_57067_18.jpg: 2023-01-30 Ok
T76 ges_108338_57068_18.jpg: 2023-01-30 Ok
T77 ges_108338_57069_18.jpg: 2023-01-30 Ok
T78 ges_108338_57070_18.jpg: 2023-01-30 Ok
T80 ges_108338_57072_18.jpg: 2023-01-30 Ok
T79 ges_108338_57071_18.jpg: 2023-01-30 Ok
T81 ges_108338_57073_18.jpg: 2023-01-30 Ok
T82 ges_108338_57074_18.jpg: 2023-01-30 Ok
T83 ges_108338_57075_18.jpg: 2023-01-30 Ok
T84 ges_108338_57076_18.jpg: 2023-01-30 Ok
T85 ges_108338_57077_18.jpg: 2023-01-30 Ok
T86 ges_108338_57078_18.jpg: 2023-01-30 Ok
T87 ges_108338_57079_18.jpg: 2023-01-30 Ok
T88 ges_108338_57080_18.jpg: 2023-01-30 Ok
T89 ges_108338_57081_18.jpg: 2023-01-30 Ok
T90 ges_108338_57082_18.jpg: 2023-01-30 Ok
T92 ges_108339_57061_18.jpg: 2023-01-30 Ok
T91 ges_108338_57083_18.jpg: 2023-01-30 Ok
T93 ges_108339_57062_18.jpg: 2023-01-30 Ok
T94 ges_108339_57063_18.jpg: 2023-01-30 Ok
T95 ges_108339_57064_18.jpg: 2023-01-30 Ok
T97 ges_108339_57066_18.jpg: 2023-01-30 Ok
T96 ges_108339_57065_18.jpg: 2023-01-30 Ok
T98 ges_108339_57067_18.jpg: 2023-01-30 Ok
T100 ges_108339_57069_18.jpg: 2023-01-30 Ok
T99 ges_108339_57068_18.jpg: 2023-01-30 Ok
T101 ges_108339_57070_18.jpg: 2023-01-30 Ok
T102 ges_108339_57071_18.jpg: 2023-01-30 Ok
T103 ges_108339_57072_18.jpg: 2023-01-30 Ok
T104 ges_108339_57073_18.jpg: 2023-01-30 Ok
T105 ges_108339_57074_18.jpg: 2023-01-30 Ok
T106 ges_108339_57075_18.jpg: 2023-01-30 Ok
T107 ges_108339_57076_18.jpg: 2023-01-30 Ok
T108 ges_108339_57077_18.jpg: 2023-01-30 Ok
T109 ges_108339_57078_18.jpg: 2023-01-30 Ok
T110 ges_108339_57079_18.jpg: 2023-01-30 Ok
T111 ges_108339_57080_18.jpg: 2023-01-30 Ok
T113 ges_108339_57082_18.jpg: 2023-01-30 Ok
T112 ges_108339_57081_18.jpg: 2023-01-30 Ok
T114 ges_108339_57083_18.jpg: 2023-01-30 Ok
T138 ges_108341_57061_18.jpg: 2023-01-30 Ok
T139 ges_108341_57062_18.jpg: 2023-01-30 Ok
T140 ges_108341_57063_18.jpg: 2023-01-30 Ok
T141 ges_108341_57064_18.jpg: 2023-01-30 Ok
T142 ges_108341_57065_18.jpg: 2023-01-30 Ok
T143 ges_108341_57066_18.jpg: 2023-01-30 Ok
T144 ges_108341_57067_18.jpg: 2023-01-30 Ok
T145 ges_108341_57068_18.jpg: 2023-01-30 Ok
T146 ges_108341_57069_18.jpg: 2023-01-30 Ok
T147 ges_108341_57070_18.jpg: 2023-01-30 Ok
T148 ges_108341_57071_18.jpg: 2023-01-30 Ok
T149 ges_108341_57072_18.jpg: 2023-01-30 Ok
T150 ges_108341_57073_18.jpg: 2023-01-30 Ok
T151 ges_108341_57074_18.jpg: 2023-01-30 Ok
T152 ges_108341_57075_18.jpg: 2023-01-30 Ok
T153 ges_108341_57076_18.jpg: 2023-01-30 Ok
T154 ges_108341_57077_18.jpg: 2023-01-30 Ok
T155 ges_108341_57078_18.jpg: 2023-01-30 Ok
T157 ges_108341_57080_18.jpg: 2023-01-30 Ok
T156 ges_108341_57079_18.jpg: 2023-01-30 Ok
T158 ges_108341_57081_18.jpg: 2023-01-30 Ok
T160 ges_108341_57083_18.jpg: 2023-01-30 Ok
T159 ges_108341_57082_18.jpg: 2023-01-30 Ok
T162 ges_108342_57062_18.jpg: 2023-01-30 Ok
T161 ges_108342_57061_18.jpg: 2023-01-30 Ok
T163 ges_108342_57063_18.jpg: 2023-01-30 Ok
T164 ges_108342_57064_18.jpg: 2023-01-30 Ok
T165 ges_108342_57065_18.jpg: 2023-01-30 Ok
T166 ges_108342_57066_18.jpg: 2023-01-30 Ok
T167 ges_108342_57067_18.jpg: 2023-01-30 Ok
T168 ges_108342_57068_18.jpg: 2023-01-30 Ok
T169 ges_108342_57069_18.jpg: 2023-01-30 Ok
T170 ges_108342_57070_18.jpg: 2023-01-30 Ok
T171 ges_108342_57071_18.jpg: 2023-01-30 Ok
T172 ges_108342_57072_18.jpg: 2023-01-30 Ok
T173 ges_108342_57073_18.jpg: 2023-01-30 Ok
T174 ges_108342_57074_18.jpg: 2023-01-30 Ok
T175 ges_108342_57075_18.jpg: 2023-01-30 Ok
T176 ges_108342_57076_18.jpg: 2023-01-30 Ok
T177 ges_108342_57077_18.jpg: 2023-01-30 Ok
T178 ges_108342_57078_18.jpg: 2023-01-30 Ok
T179 ges_108342_57079_18.jpg: 2023-01-30 Ok
T180 ges_108342_57080_18.jpg: 2023-01-30 Ok
T181 ges_108342_57081_18.jpg: 2023-01-30 Ok
