==================================================
Task Execution Time : 2026-05-23 02:53:58
Task Identifier     : CHN_C_28_current_0
Requested Target    : current
Actual Capture Date : 2025-12-10
Zoom Level          : 18
Bounding Box (4326) : (np.float64(116.4633389999999), np.float64(32.6724349683289), np.float64(116.56302099999994), np.float64(32.7909999685073))
Total Patches Found : 1628
--------------------------------------------------
[Original Log Entries]
T88 ges_107941_77431_18.jpg: 2025-12-10 Ok
T89 ges_107941_77432_18.jpg: 2025-12-10 Ok
T90 ges_107941_77433_18.jpg: 2025-12-10 Ok
T92 ges_107941_77435_18.jpg: 2025-12-10 Ok
T91 ges_107941_77434_18.jpg: 2025-12-10 Ok
T93 ges_107941_77436_18.jpg: 2025-12-10 Ok
T94 ges_107941_77437_18.jpg: 2025-12-10 Ok
T95 ges_107941_77438_18.jpg: 2025-12-10 Ok
T96 ges_107941_77439_18.jpg: 2025-12-10 Ok
T97 ges_107941_77440_18.jpg: 2025-12-10 Ok
T98 ges_107941_77441_18.jpg: 2025-12-10 Ok
T99 ges_107941_77442_18.jpg: 2025-12-10 Ok
T100 ges_107941_77443_18.jpg: 2025-12-10 Ok
T101 ges_107941_77444_18.jpg: 2025-12-10 Ok
T102 ges_107941_77445_18.jpg: 2025-12-10 Ok
T103 ges_107941_77446_18.jpg: 2025-12-10 Ok
T104 ges_107941_77447_18.jpg: 2025-12-10 Ok
T105 ges_107941_77448_18.jpg: 2025-12-10 Ok
T106 ges_107941_77449_18.jpg: 2025-12-10 Ok
T107 ges_107941_77450_18.jpg: 2025-12-10 Ok
T108 ges_107941_77451_18.jpg: 2025-12-10 Ok
T109 ges_107941_77452_18.jpg: 2025-12-10 Ok
T110 ges_107941_77453_18.jpg: 2025-12-10 Ok
T111 ges_107941_77454_18.jpg: 2025-12-10 Ok
T112 ges_107941_77455_18.jpg: 2025-12-10 Ok
T113 ges_107941_77456_18.jpg: 2025-12-10 Ok
T114 ges_107941_77457_18.jpg: 2025-12-10 Ok
T116 ges_107941_77459_18.jpg: 2025-12-10 Ok
T115 ges_107941_77458_18.jpg: 2025-12-10 Ok
T117 ges_107941_77460_18.jpg: 2025-12-10 Ok
T118 ges_107941_77461_18.jpg: 2025-12-10 Ok
T120 ges_107941_77463_18.jpg: 2025-12-10 Ok
T119 ges_107941_77462_18.jpg: 2025-12-10 Ok
T121 ges_107941_77464_18.jpg: 2025-12-10 Ok
T122 ges_107941_77465_18.jpg: 2025-12-10 Ok
T123 ges_107941_77466_18.jpg: 2025-12-10 Ok
T124 ges_107941_77467_18.jpg: 2025-12-10 Ok
T125 ges_107941_77468_18.jpg: 2025-12-10 Ok
T126 ges_107941_77469_18.jpg: 2025-12-10 Ok
T128 ges_107941_77471_18.jpg: 2025-12-10 Ok
T127 ges_107941_77470_18.jpg: 2025-12-10 Ok
T129 ges_107941_77472_18.jpg: 2025-12-10 Ok
T130 ges_107941_77473_18.jpg: 2025-12-10 Ok
T131 ges_107941_77474_18.jpg: 2025-12-10 Ok
T132 ges_107942_77431_18.jpg: 2025-12-10 Ok
T133 ges_107942_77432_18.jpg: 2025-12-10 Ok
T135 ges_107942_77434_18.jpg: 2025-12-10 Ok
T134 ges_107942_77433_18.jpg: 2025-12-10 Ok
T136 ges_107942_77435_18.jpg: 2025-12-10 Ok
T138 ges_107942_77437_18.jpg: 2025-12-10 Ok
T137 ges_107942_77436_18.jpg: 2025-12-10 Ok
T139 ges_107942_77438_18.jpg: 2025-12-10 Ok
T140 ges_107942_77439_18.jpg: 2025-12-10 Ok
T141 ges_107942_77440_18.jpg: 2025-12-10 Ok
T142 ges_107942_77441_18.jpg: 2025-12-10 Ok
T143 ges_107942_77442_18.jpg: 2025-12-10 Ok
T144 ges_107942_77443_18.jpg: 2025-12-10 Ok
T145 ges_107942_77444_18.jpg: 2025-12-10 Ok
T146 ges_107942_77445_18.jpg: 2025-12-10 Ok
T147 ges_107942_77446_18.jpg: 2025-12-10 Ok
T148 ges_107942_77447_18.jpg: 2025-12-10 Ok
T150 ges_107942_77449_18.jpg: 2025-12-10 Ok
T149 ges_107942_77448_18.jpg: 2025-12-10 Ok
T151 ges_107942_77450_18.jpg: 2025-12-10 Ok
T152 ges_107942_77451_18.jpg: 2025-12-10 Ok
