==================================================
Task Execution Time : 2026-05-23 06:30:28
Task Identifier     : CHN_G_11_current_0
Requested Target    : current
Actual Capture Date : 2024-09-06
Zoom Level          : 18
Bounding Box (4326) : (np.float64(119.88624599999999), np.float64(37.342491975523444), np.float64(119.91255299999999), np.float64(37.361015975551766))
Total Patches Found : 80
--------------------------------------------------
[Original Log Entries]
T0 ges_109185_79131_18.jpg: 2024-09-06 Ok
T2 ges_109185_79133_18.jpg: 2024-09-06 Ok
T1 ges_109185_79132_18.jpg: 2024-09-06 Ok
T4 ges_109185_79135_18.jpg: 2024-09-06 Ok
T3 ges_109185_79134_18.jpg: 2024-09-06 Ok
T6 ges_109185_79137_18.jpg: 2024-09-06 Ok
T5 ges_109185_79136_18.jpg: 2024-09-06 Ok
T7 ges_109185_79138_18.jpg: 2024-09-06 Ok
T8 ges_109186_79131_18.jpg: 2024-09-06 Ok
T9 ges_109186_79132_18.jpg: 2024-09-06 Ok
T11 ges_109186_79134_18.jpg: 2024-09-06 Ok
T10 ges_109186_79133_18.jpg: 2024-09-06 Ok
T12 ges_109186_79135_18.jpg: 2024-09-06 Ok
T13 ges_109186_79136_18.jpg: 2024-09-06 Ok
T14 ges_109186_79137_18.jpg: 2024-09-06 Ok
T15 ges_109186_79138_18.jpg: 2024-09-06 Ok
T16 ges_109187_79131_18.jpg: 2024-09-06 Ok
T17 ges_109187_79132_18.jpg: 2024-09-06 Ok
T18 ges_109187_79133_18.jpg: 2024-09-06 Ok
T19 ges_109187_79134_18.jpg: 2024-09-06 Ok
T20 ges_109187_79135_18.jpg: 2024-09-06 Ok
T21 ges_109187_79136_18.jpg: 2024-09-06 Ok
T22 ges_109187_79137_18.jpg: 2024-09-06 Ok
T23 ges_109187_79138_18.jpg: 2024-09-06 Ok
T24 ges_109188_79131_18.jpg: 2024-09-06 Ok
T25 ges_109188_79132_18.jpg: 2024-09-06 Ok
T26 ges_109188_79133_18.jpg: 2024-09-06 Ok
T28 ges_109188_79135_18.jpg: 2024-09-06 Ok
T27 ges_109188_79134_18.jpg: 2024-09-06 Ok
T30 ges_109188_79137_18.jpg: 2024-09-06 Ok
T29 ges_109188_79136_18.jpg: 2024-09-06 Ok
T31 ges_109188_79138_18.jpg: 2024-09-06 Ok
T32 ges_109189_79131_18.jpg: 2024-09-06 Ok
T33 ges_109189_79132_18.jpg: 2024-09-06 Ok
T35 ges_109189_79134_18.jpg: 2024-09-06 Ok
T34 ges_109189_79133_18.jpg: 2024-09-06 Ok
T36 ges_109189_79135_18.jpg: 2024-09-06 Ok
T37 ges_109189_79136_18.jpg: 2024-09-06 Ok
T38 ges_109189_79137_18.jpg: 2024-09-06 Ok
T39 ges_109189_79138_18.jpg: 2024-09-06 Ok
T40 ges_109190_79131_18.jpg: 2024-09-06 Ok
T41 ges_109190_79132_18.jpg: 2024-09-06 Ok
T42 ges_109190_79133_18.jpg: 2024-09-06 Ok
T43 ges_109190_79134_18.jpg: 2024-09-06 Ok
T44 ges_109190_79135_18.jpg: 2024-09-06 Ok
T45 ges_109190_79136_18.jpg: 2024-09-06 Ok
T46 ges_109190_79137_18.jpg: 2024-09-06 Ok
T47 ges_109190_79138_18.jpg: 2024-09-06 Ok
T48 ges_109191_79131_18.jpg: 2024-09-06 Ok
T49 ges_109191_79132_18.jpg: 2024-09-06 Ok
T50 ges_109191_79133_18.jpg: 2024-09-06 Ok
T51 ges_109191_79134_18.jpg: 2024-09-06 Ok
T52 ges_109191_79135_18.jpg: 2024-09-06 Ok
T53 ges_109191_79136_18.jpg: 2024-09-06 Ok
T54 ges_109191_79137_18.jpg: 2024-09-06 Ok
T55 ges_109191_79138_18.jpg: 2024-09-06 Ok
T56 ges_109192_79131_18.jpg: 2024-09-06 Ok
T57 ges_109192_79132_18.jpg: 2024-09-06 Ok
T58 ges_109192_79133_18.jpg: 2024-09-06 Ok
T60 ges_109192_79135_18.jpg: 2024-09-06 Ok
T59 ges_109192_79134_18.jpg: 2024-09-06 Ok
T61 ges_109192_79136_18.jpg: 2024-09-06 Ok
T62 ges_109192_79137_18.jpg: 2024-09-06 Ok
T63 ges_109192_79138_18.jpg: 2024-09-06 Ok
T64 ges_109193_79131_18.jpg: 2024-09-06 Ok
T65 ges_109193_79132_18.jpg: 2024-09-06 Ok
T66 ges_109193_79133_18.jpg: 2024-09-06 Ok
T67 ges_109193_79134_18.jpg: 2024-09-06 Ok
T68 ges_109193_79135_18.jpg: 2024-09-06 Ok
T69 ges_109193_79136_18.jpg: 2024-09-06 Ok
T70 ges_109193_79137_18.jpg: 2024-09-06 Ok
T71 ges_109193_79138_18.jpg: 2024-09-06 Ok
T72 ges_109194_79131_18.jpg: 2024-09-06 Ok
T73 ges_109194_79132_18.jpg: 2024-09-06 Ok
T74 ges_109194_79133_18.jpg: 2024-09-06 Ok
T75 ges_109194_79134_18.jpg: 2024-09-06 Ok
T76 ges_109194_79135_18.jpg: 2024-09-06 Ok
T77 ges_109194_79136_18.jpg: 2024-09-06 Ok
T78 ges_109194_79137_18.jpg: 2024-09-06 Ok
T79 ges_109194_79138_18.jpg: 2024-09-06 Ok


