==================================================
Task Execution Time : 2026-05-23 07:06:36
Task Identifier     : CHN_I_9_current_0
Requested Target    : current
Actual Capture Date : 2018-01-11
Zoom Level          : 18
Bounding Box (4326) : (np.float64(114.82978799999994), np.float64(30.19039296475628), np.float64(114.91791500000001), np.float64(30.236971988273233))
Total Patches Found : 69
--------------------------------------------------
[Original Log Entries]
T47 ges_107346_76538_18.jpg: 2018-01-11 Ok
T48 ges_107346_76539_18.jpg: 2018-01-11 Ok
T49 ges_107346_76540_18.jpg: 2018-01-11 Ok
T50 ges_107346_76541_18.jpg: 2018-01-11 Ok
T57 ges_107347_76530_18.jpg: 2018-01-11 Ok
T56 ges_107347_76529_18.jpg: 2018-01-11 Ok
T58 ges_107347_76531_18.jpg: 2018-01-11 Ok
T65 ges_107347_76538_18.jpg: 2018-01-11 Ok
T66 ges_107347_76539_18.jpg: 2018-01-11 Ok
T94 ges_107349_76531_18.jpg: 2018-01-11 Ok
T95 ges_107349_76532_18.jpg: 2018-01-11 Ok
T96 ges_107349_76533_18.jpg: 2018-01-11 Ok
T98 ges_107349_76535_18.jpg: 2018-01-11 Ok
T97 ges_107349_76534_18.jpg: 2018-01-11 Ok
T110 ges_107350_76529_18.jpg: 2018-01-11 Ok
T112 ges_107350_76531_18.jpg: 2018-01-11 Ok
T111 ges_107350_76530_18.jpg: 2018-01-11 Ok
T113 ges_107350_76532_18.jpg: 2018-01-11 Ok
T114 ges_107350_76533_18.jpg: 2018-01-11 Ok
T115 ges_107350_76534_18.jpg: 2018-01-11 Ok
T116 ges_107350_76535_18.jpg: 2018-01-11 Ok
T117 ges_107350_76536_18.jpg: 2018-01-11 Ok
T128 ges_107351_76529_18.jpg: 2018-01-11 Ok
T129 ges_107351_76530_18.jpg: 2018-01-11 Ok
T130 ges_107351_76531_18.jpg: 2018-01-11 Ok
T131 ges_107351_76532_18.jpg: 2018-01-11 Ok
T132 ges_107351_76533_18.jpg: 2018-01-11 Ok
T166 ges_107353_76531_18.jpg: 2018-01-11 Ok
T168 ges_107353_76533_18.jpg: 2018-01-11 Ok
T167 ges_107353_76532_18.jpg: 2018-01-11 Ok
T184 ges_107354_76531_18.jpg: 2018-01-11 Ok
T185 ges_107354_76532_18.jpg: 2018-01-11 Ok
T186 ges_107354_76533_18.jpg: 2018-01-11 Ok
T202 ges_107355_76531_18.jpg: 2018-01-11 Ok
T203 ges_107355_76532_18.jpg: 2018-01-11 Ok
T204 ges_107355_76533_18.jpg: 2018-01-11 Ok
T238 ges_107357_76531_18.jpg: 2018-01-11 Ok
T256 ges_107358_76531_18.jpg: 2018-01-11 Ok
T274 ges_107359_76531_18.jpg: 2018-01-11 Ok
T310 ges_107361_76531_18.jpg: 2018-01-11 Ok
T311 ges_107361_76532_18.jpg: 2018-01-11 Ok
T328 ges_107362_76531_18.jpg: 2018-01-11 Ok
T329 ges_107362_76532_18.jpg: 2018-01-11 Ok
T346 ges_107363_76531_18.jpg: 2018-01-11 Ok
T347 ges_107363_76532_18.jpg: 2018-01-11 Ok
T382 ges_107365_76531_18.jpg: 2018-01-11 Ok
T384 ges_107365_76533_18.jpg: 2018-01-11 Ok
T383 ges_107365_76532_18.jpg: 2018-01-11 Ok
T400 ges_107366_76531_18.jpg: 2018-01-11 Ok
T401 ges_107366_76532_18.jpg: 2018-01-11 Ok
T402 ges_107366_76533_18.jpg: 2018-01-11 Ok
T418 ges_107367_76531_18.jpg: 2018-01-11 Ok
T419 ges_107367_76532_18.jpg: 2018-01-11 Ok
T76 ges_107348_76531_18.jpg: 2018-01-11 Ok
T77 ges_107348_76532_18.jpg: 2018-01-11 Ok
T78 ges_107348_76533_18.jpg: 2018-01-11 Ok
T79 ges_107348_76534_18.jpg: 2018-01-11 Ok
T80 ges_107348_76535_18.jpg: 2018-01-11 Ok
T147 ges_107352_76530_18.jpg: 2018-01-11 Ok
T146 ges_107352_76529_18.jpg: 2018-01-11 Ok
T148 ges_107352_76531_18.jpg: 2018-01-11 Ok
T149 ges_107352_76532_18.jpg: 2018-01-11 Ok
T150 ges_107352_76533_18.jpg: 2018-01-11 Ok
T220 ges_107356_76531_18.jpg: 2018-01-11 Ok
T221 ges_107356_76532_18.jpg: 2018-01-11 Ok
T292 ges_107360_76531_18.jpg: 2018-01-11 Ok
T364 ges_107364_76531_18.jpg: 2018-01-11 Ok
T365 ges_107364_76532_18.jpg: 2018-01-11 Ok
T436 ges_107368_76531_18.jpg: 2018-01-11 Ok


