==================================================
Task Execution Time : 2026-05-23 07:06:36
Task Identifier     : CHN_I_9_current_0
Requested Target    : current
Actual Capture Date : Current_Default
Zoom Level          : 18
Bounding Box (4326) : (np.float64(114.82978799999994), np.float64(30.19039296475628), np.float64(114.91791500000001), np.float64(30.236971988273233))
Total Patches Found : 156
--------------------------------------------------
[Original Log Entries]
T23 ges_107345_76532_18.jpg:  Ok
T24 ges_107345_76533_18.jpg:  Ok
T25 ges_107345_76534_18.jpg:  Ok
T26 ges_107345_76535_18.jpg:  Ok
T27 ges_107345_76536_18.jpg:  Ok
T28 ges_107345_76537_18.jpg:  Ok
T30 ges_107345_76539_18.jpg:  Ok
T29 ges_107345_76538_18.jpg:  Ok
T31 ges_107345_76540_18.jpg:  Ok
T32 ges_107345_76541_18.jpg:  Ok
T33 ges_107345_76542_18.jpg:  Ok
T34 ges_107345_76543_18.jpg:  Ok
T35 ges_107345_76544_18.jpg:  Ok
T36 ges_107346_76527_18.jpg:  Ok
T37 ges_107346_76528_18.jpg:  Ok
T38 ges_107346_76529_18.jpg:  Ok
T39 ges_107346_76530_18.jpg:  Ok
T40 ges_107346_76531_18.jpg:  Ok
T41 ges_107346_76532_18.jpg:  Ok
T42 ges_107346_76533_18.jpg:  Ok
T43 ges_107346_76534_18.jpg:  Ok
T44 ges_107346_76535_18.jpg:  Ok
T45 ges_107346_76536_18.jpg:  Ok
T46 ges_107346_76537_18.jpg:  Ok
T51 ges_107346_76542_18.jpg:  Ok
T52 ges_107346_76543_18.jpg:  Ok
T53 ges_107346_76544_18.jpg:  Ok
T54 ges_107347_76527_18.jpg:  Ok
T55 ges_107347_76528_18.jpg:  Ok
T59 ges_107347_76532_18.jpg:  Ok
T60 ges_107347_76533_18.jpg:  Ok
T61 ges_107347_76534_18.jpg:  Ok
T62 ges_107347_76535_18.jpg:  Ok
T63 ges_107347_76536_18.jpg:  Ok
T64 ges_107347_76537_18.jpg:  Ok
T67 ges_107347_76540_18.jpg:  Ok
T68 ges_107347_76541_18.jpg:  Ok
T69 ges_107347_76542_18.jpg:  Ok
T90 ges_107349_76527_18.jpg:  Ok
T91 ges_107349_76528_18.jpg:  Ok
T92 ges_107349_76529_18.jpg:  Ok
T93 ges_107349_76530_18.jpg:  Ok
T99 ges_107349_76536_18.jpg:  Ok
T108 ges_107350_76527_18.jpg:  Ok
T109 ges_107350_76528_18.jpg:  Ok
T118 ges_107350_76537_18.jpg:  Ok
T126 ges_107351_76527_18.jpg:  Ok
T127 ges_107351_76528_18.jpg:  Ok
T133 ges_107351_76534_18.jpg:  Ok
T134 ges_107351_76535_18.jpg:  Ok
T135 ges_107351_76536_18.jpg:  Ok
T136 ges_107351_76537_18.jpg:  Ok
T162 ges_107353_76527_18.jpg:  Ok
T163 ges_107353_76528_18.jpg:  Ok
T164 ges_107353_76529_18.jpg:  Ok
T165 ges_107353_76530_18.jpg:  Ok
T170 ges_107353_76535_18.jpg:  Ok
T169 ges_107353_76534_18.jpg:  Ok
T180 ges_107354_76527_18.jpg:  Ok
T181 ges_107354_76528_18.jpg:  Ok
T183 ges_107354_76530_18.jpg:  Ok
T187 ges_107354_76534_18.jpg:  Ok
T188 ges_107354_76535_18.jpg:  Ok
T201 ges_107355_76530_18.jpg:  Ok
T205 ges_107355_76534_18.jpg:  Ok
T209 ges_107355_76538_18.jpg:  Ok
T237 ges_107357_76530_18.jpg:  Ok
T239 ges_107357_76532_18.jpg:  Ok
T255 ges_107358_76530_18.jpg:  Ok
T257 ges_107358_76532_18.jpg:  Ok
T273 ges_107359_76530_18.jpg:  Ok
T275 ges_107359_76532_18.jpg:  Ok
T309 ges_107361_76530_18.jpg:  Ok
T312 ges_107361_76533_18.jpg:  Ok
T327 ges_107362_76530_18.jpg:  Ok
T330 ges_107362_76533_18.jpg:  Ok
T342 ges_107363_76527_18.jpg:  Ok
T343 ges_107363_76528_18.jpg:  Ok
T345 ges_107363_76530_18.jpg:  Ok
T348 ges_107363_76533_18.jpg:  Ok
T378 ges_107365_76527_18.jpg:  Ok
T381 ges_107365_76530_18.jpg:  Ok
T385 ges_107365_76534_18.jpg:  Ok
T386 ges_107365_76535_18.jpg:  Ok
T397 ges_107366_76528_18.jpg:  Ok
T398 ges_107366_76529_18.jpg:  Ok
T399 ges_107366_76530_18.jpg:  Ok
T403 ges_107366_76534_18.jpg:  Ok
T404 ges_107366_76535_18.jpg:  Ok
T415 ges_107367_76528_18.jpg:  Ok
T417 ges_107367_76530_18.jpg:  Ok
T420 ges_107367_76533_18.jpg:  Ok
T421 ges_107367_76534_18.jpg:  Ok
T425 ges_107367_76538_18.jpg:  Ok
T451 ges_107369_76528_18.jpg:  Ok
T453 ges_107369_76530_18.jpg:  Ok
T454 ges_107369_76531_18.jpg:  Ok
T455 ges_107369_76532_18.jpg:  Ok
T470 ges_107370_76529_18.jpg:  Ok
T469 ges_107370_76528_18.jpg:  Ok
T471 ges_107370_76530_18.jpg:  Ok
T472 ges_107370_76531_18.jpg:  Ok
T487 ges_107371_76528_18.jpg:  Ok
T488 ges_107371_76529_18.jpg:  Ok
T494 ges_107371_76535_18.jpg:  Ok
T525 ges_107373_76530_18.jpg:  Ok
T526 ges_107373_76531_18.jpg:  Ok
T527 ges_107373_76532_18.jpg:  Ok
T528 ges_107373_76533_18.jpg:  Ok
T529 ges_107373_76534_18.jpg:  Ok
T543 ges_107374_76530_18.jpg:  Ok
T544 ges_107374_76531_18.jpg:  Ok
T546 ges_107374_76533_18.jpg:  Ok
T545 ges_107374_76532_18.jpg:  Ok
T547 ges_107374_76534_18.jpg:  Ok
T548 ges_107374_76535_18.jpg:  Ok
T564 ges_107375_76533_18.jpg:  Ok
T566 ges_107375_76535_18.jpg:  Ok
T565 ges_107375_76534_18.jpg:  Ok
T567 ges_107375_76536_18.jpg:  Ok
T5 ges_107344_76532_18.jpg:  Ok
T73 ges_107348_76528_18.jpg:  Ok
T72 ges_107348_76527_18.jpg:  Ok
T75 ges_107348_76530_18.jpg:  Ok
T74 ges_107348_76529_18.jpg:  Ok
T81 ges_107348_76536_18.jpg:  Ok
T83 ges_107348_76538_18.jpg:  Ok
T82 ges_107348_76537_18.jpg:  Ok
T84 ges_107348_76539_18.jpg:  Ok
T144 ges_107352_76527_18.jpg:  Ok
T145 ges_107352_76528_18.jpg:  Ok
T151 ges_107352_76534_18.jpg:  Ok
T152 ges_107352_76535_18.jpg:  Ok
T219 ges_107356_76530_18.jpg:  Ok
T222 ges_107356_76533_18.jpg:  Ok
T231 ges_107356_76542_18.jpg:  Ok
T232 ges_107356_76543_18.jpg:  Ok
T291 ges_107360_76530_18.jpg:  Ok
T293 ges_107360_76532_18.jpg:  Ok
T294 ges_107360_76533_18.jpg:  Ok
T360 ges_107364_76527_18.jpg:  Ok
T361 ges_107364_76528_18.jpg:  Ok
T363 ges_107364_76530_18.jpg:  Ok
T366 ges_107364_76533_18.jpg:  Ok
T433 ges_107368_76528_18.jpg:  Ok
T435 ges_107368_76530_18.jpg:  Ok
T437 ges_107368_76532_18.jpg:  Ok
T438 ges_107368_76533_18.jpg:  Ok
T510 ges_107372_76533_18.jpg:  Ok
T512 ges_107372_76535_18.jpg:  Ok
T513 ges_107372_76536_18.jpg:  Ok
T578 ges_107376_76529_18.jpg:  Ok
T582 ges_107376_76533_18.jpg:  Ok
T583 ges_107376_76534_18.jpg:  Ok
T584 ges_107376_76535_18.jpg:  Ok
T585 ges_107376_76536_18.jpg:  Ok


