==================================================
Task Execution Time : 2026-05-23 09:46:35
Task Identifier     : USA_C_4_current_0
Requested Target    : current
Actual Capture Date : 2026-03-18
Zoom Level          : 18
Bounding Box (4326) : (np.float64(-105.56453699999993), np.float64(44.28416798512986), np.float64(-105.37210499999999), np.float64(44.49723998537995))
Total Patches Found : 319
--------------------------------------------------
[Original Log Entries]
T4758 ges_27162_81659_18.jpg: 2026-03-18 Ok
T4759 ges_27162_81660_18.jpg: 2026-03-18 Ok
T4760 ges_27162_81661_18.jpg: 2026-03-18 Ok
T4762 ges_27162_81663_18.jpg: 2026-03-18 Ok
T4761 ges_27162_81662_18.jpg: 2026-03-18 Ok
T4763 ges_27162_81664_18.jpg: 2026-03-18 Ok
T4764 ges_27162_81665_18.jpg: 2026-03-18 Ok
T4766 ges_27162_81667_18.jpg: 2026-03-18 Ok
T4768 ges_27162_81669_18.jpg: 2026-03-18 Ok
T4767 ges_27162_81668_18.jpg: 2026-03-18 Ok
T4769 ges_27162_81670_18.jpg: 2026-03-18 Ok
T4770 ges_27162_81671_18.jpg: 2026-03-18 Ok
T4771 ges_27162_81672_18.jpg: 2026-03-18 Ok
T4772 ges_27162_81673_18.jpg: 2026-03-18 Ok
T4773 ges_27162_81674_18.jpg: 2026-03-18 Ok
T4774 ges_27162_81675_18.jpg: 2026-03-18 Ok
T4775 ges_27162_81676_18.jpg: 2026-03-18 Ok
T4776 ges_27162_81677_18.jpg: 2026-03-18 Ok
T4777 ges_27162_81678_18.jpg: 2026-03-18 Ok
T4779 ges_27162_81680_18.jpg: 2026-03-18 Ok
T4778 ges_27162_81679_18.jpg: 2026-03-18 Ok
T4780 ges_27162_81681_18.jpg: 2026-03-18 Ok
T4781 ges_27162_81682_18.jpg: 2026-03-18 Ok
T4782 ges_27162_81683_18.jpg: 2026-03-18 Ok
T4783 ges_27162_81684_18.jpg: 2026-03-18 Ok
T4785 ges_27162_81686_18.jpg: 2026-03-18 Ok
T4784 ges_27162_81685_18.jpg: 2026-03-18 Ok
T4786 ges_27162_81687_18.jpg: 2026-03-18 Ok
T4788 ges_27162_81689_18.jpg: 2026-03-18 Ok
T4787 ges_27162_81688_18.jpg: 2026-03-18 Ok
T4789 ges_27162_81690_18.jpg: 2026-03-18 Ok
T4837 ges_27163_81660_18.jpg: 2026-03-18 Ok
T4836 ges_27163_81659_18.jpg: 2026-03-18 Ok
T4838 ges_27163_81661_18.jpg: 2026-03-18 Ok
T4839 ges_27163_81662_18.jpg: 2026-03-18 Ok
T4840 ges_27163_81663_18.jpg: 2026-03-18 Ok
T4841 ges_27163_81664_18.jpg: 2026-03-18 Ok
T4842 ges_27163_81665_18.jpg: 2026-03-18 Ok
T4843 ges_27163_81666_18.jpg: 2026-03-18 Ok
T4844 ges_27163_81667_18.jpg: 2026-03-18 Ok
T4845 ges_27163_81668_18.jpg: 2026-03-18 Ok
T4846 ges_27163_81669_18.jpg: 2026-03-18 Ok
T4848 ges_27163_81671_18.jpg: 2026-03-18 Ok
T4847 ges_27163_81670_18.jpg: 2026-03-18 Ok
T4849 ges_27163_81672_18.jpg: 2026-03-18 Ok
T4850 ges_27163_81673_18.jpg: 2026-03-18 Ok
T4851 ges_27163_81674_18.jpg: 2026-03-18 Ok
T4852 ges_27163_81675_18.jpg: 2026-03-18 Ok
T4853 ges_27163_81676_18.jpg: 2026-03-18 Ok
T4854 ges_27163_81677_18.jpg: 2026-03-18 Ok
T4855 ges_27163_81678_18.jpg: 2026-03-18 Ok
T4857 ges_27163_81680_18.jpg: 2026-03-18 Ok
T4856 ges_27163_81679_18.jpg: 2026-03-18 Ok
T4859 ges_27163_81682_18.jpg: 2026-03-18 Ok
T4858 ges_27163_81681_18.jpg: 2026-03-18 Ok
T4860 ges_27163_81683_18.jpg: 2026-03-18 Ok
T4862 ges_27163_81685_18.jpg: 2026-03-18 Ok
T4861 ges_27163_81684_18.jpg: 2026-03-18 Ok
T4864 ges_27163_81687_18.jpg: 2026-03-18 Ok
T4863 ges_27163_81686_18.jpg: 2026-03-18 Ok
T4865 ges_27163_81688_18.jpg: 2026-03-18 Ok
T4866 ges_27163_81689_18.jpg: 2026-03-18 Ok
T4867 ges_27163_81690_18.jpg: 2026-03-18 Ok
T4992 ges_27165_81659_18.jpg: 2026-03-18 Ok
T4993 ges_27165_81660_18.jpg: 2026-03-18 Ok
T4994 ges_27165_81661_18.jpg: 2026-03-18 Ok
T4995 ges_27165_81662_18.jpg: 2026-03-18 Ok
T4996 ges_27165_81663_18.jpg: 2026-03-18 Ok
T4997 ges_27165_81664_18.jpg: 2026-03-18 Ok
T4998 ges_27165_81665_18.jpg: 2026-03-18 Ok
T4999 ges_27165_81666_18.jpg: 2026-03-18 Ok
T5000 ges_27165_81667_18.jpg: 2026-03-18 Ok
T5002 ges_27165_81669_18.jpg: 2026-03-18 Ok
T5001 ges_27165_81668_18.jpg: 2026-03-18 Ok
T4915 ges_27164_81660_18.jpg: 2026-03-18 Ok
T4914 ges_27164_81659_18.jpg: 2026-03-18 Ok
T4916 ges_27164_81661_18.jpg: 2026-03-18 Ok
T4917 ges_27164_81662_18.jpg: 2026-03-18 Ok
T4918 ges_27164_81663_18.jpg: 2026-03-18 Ok
T4919 ges_27164_81664_18.jpg: 2026-03-18 Ok
T4920 ges_27164_81665_18.jpg: 2026-03-18 Ok
T4921 ges_27164_81666_18.jpg: 2026-03-18 Ok
T4922 ges_27164_81667_18.jpg: 2026-03-18 Ok
T4923 ges_27164_81668_18.jpg: 2026-03-18 Ok
T4924 ges_27164_81669_18.jpg: 2026-03-18 Ok
T4925 ges_27164_81670_18.jpg: 2026-03-18 Ok
T4926 ges_27164_81671_18.jpg: 2026-03-18 Ok
T4928 ges_27164_81673_18.jpg: 2026-03-18 Ok
T4927 ges_27164_81672_18.jpg: 2026-03-18 Ok
T4929 ges_27164_81674_18.jpg: 2026-03-18 Ok
T4930 ges_27164_81675_18.jpg: 2026-03-18 Ok
T4932 ges_27164_81677_18.jpg: 2026-03-18 Ok
T4931 ges_27164_81676_18.jpg: 2026-03-18 Ok
T4933 ges_27164_81678_18.jpg: 2026-03-18 Ok
T4934 ges_27164_81679_18.jpg: 2026-03-18 Ok
T4935 ges_27164_81680_18.jpg: 2026-03-18 Ok
T4936 ges_27164_81681_18.jpg: 2026-03-18 Ok
T4938 ges_27164_81683_18.jpg: 2026-03-18 Ok
T4937 ges_27164_81682_18.jpg: 2026-03-18 Ok
T4939 ges_27164_81684_18.jpg: 2026-03-18 Ok
