==================================================
Task Execution Time : 2026-05-23 09:46:35
Task Identifier     : USA_C_4_current_0
Requested Target    : current
Actual Capture Date : Current_Default
Zoom Level          : 18
Bounding Box (4326) : (np.float64(-105.56453699999993), np.float64(44.28416798512986), np.float64(-105.37210499999999), np.float64(44.49723998537995))
Total Patches Found : 239
--------------------------------------------------
[Original Log Entries]
T110 ges_27102_81691_18.jpg:  Ok
T188 ges_27103_81691_18.jpg:  Ok
T190 ges_27103_81693_18.jpg:  Ok
T189 ges_27103_81692_18.jpg:  Ok
T191 ges_27103_81694_18.jpg:  Ok
T192 ges_27103_81695_18.jpg:  Ok
T193 ges_27103_81696_18.jpg:  Ok
T194 ges_27103_81697_18.jpg:  Ok
T195 ges_27103_81698_18.jpg:  Ok
T196 ges_27103_81699_18.jpg:  Ok
T197 ges_27103_81700_18.jpg:  Ok
T199 ges_27103_81702_18.jpg:  Ok
T198 ges_27103_81701_18.jpg:  Ok
T200 ges_27103_81703_18.jpg:  Ok
T201 ges_27103_81704_18.jpg:  Ok
T202 ges_27103_81705_18.jpg:  Ok
T203 ges_27103_81706_18.jpg:  Ok
T204 ges_27103_81707_18.jpg:  Ok
T205 ges_27103_81708_18.jpg:  Ok
T206 ges_27103_81709_18.jpg:  Ok
T207 ges_27103_81710_18.jpg:  Ok
T208 ges_27103_81711_18.jpg:  Ok
T210 ges_27103_81713_18.jpg:  Ok
T209 ges_27103_81712_18.jpg:  Ok
T212 ges_27103_81715_18.jpg:  Ok
T211 ges_27103_81714_18.jpg:  Ok
T214 ges_27103_81717_18.jpg:  Ok
T213 ges_27103_81716_18.jpg:  Ok
T215 ges_27103_81718_18.jpg:  Ok
T216 ges_27103_81719_18.jpg:  Ok
T217 ges_27103_81720_18.jpg:  Ok
T218 ges_27103_81721_18.jpg:  Ok
T219 ges_27103_81722_18.jpg:  Ok
T220 ges_27103_81723_18.jpg:  Ok
T221 ges_27103_81724_18.jpg:  Ok
T222 ges_27103_81725_18.jpg:  Ok
T223 ges_27103_81726_18.jpg:  Ok
T224 ges_27103_81727_18.jpg:  Ok
T225 ges_27103_81728_18.jpg:  Ok
T226 ges_27103_81729_18.jpg:  Ok
T229 ges_27103_81732_18.jpg:  Ok
T227 ges_27103_81730_18.jpg:  Ok
T228 ges_27103_81731_18.jpg:  Ok
T230 ges_27103_81733_18.jpg:  Ok
T231 ges_27103_81734_18.jpg:  Ok
T232 ges_27103_81735_18.jpg:  Ok
T344 ges_27105_81691_18.jpg:  Ok
T388 ges_27105_81735_18.jpg:  Ok
T422 ges_27106_81691_18.jpg:  Ok
T466 ges_27106_81735_18.jpg:  Ok
T500 ges_27107_81691_18.jpg:  Ok
T544 ges_27107_81735_18.jpg:  Ok
T656 ges_27109_81691_18.jpg:  Ok
T700 ges_27109_81735_18.jpg:  Ok
T702 ges_27110_81659_18.jpg:  Ok
T703 ges_27110_81660_18.jpg:  Ok
T704 ges_27110_81661_18.jpg:  Ok
T705 ges_27110_81662_18.jpg:  Ok
T706 ges_27110_81663_18.jpg:  Ok
T707 ges_27110_81664_18.jpg:  Ok
T708 ges_27110_81665_18.jpg:  Ok
T709 ges_27110_81666_18.jpg:  Ok
T710 ges_27110_81667_18.jpg:  Ok
T711 ges_27110_81668_18.jpg:  Ok
T712 ges_27110_81669_18.jpg:  Ok
T713 ges_27110_81670_18.jpg:  Ok
T714 ges_27110_81671_18.jpg:  Ok
T715 ges_27110_81672_18.jpg:  Ok
T716 ges_27110_81673_18.jpg:  Ok
T717 ges_27110_81674_18.jpg:  Ok
T718 ges_27110_81675_18.jpg:  Ok
T719 ges_27110_81676_18.jpg:  Ok
T720 ges_27110_81677_18.jpg:  Ok
T721 ges_27110_81678_18.jpg:  Ok
T722 ges_27110_81679_18.jpg:  Ok
T724 ges_27110_81681_18.jpg:  Ok
T723 ges_27110_81680_18.jpg:  Ok
T725 ges_27110_81682_18.jpg:  Ok
T726 ges_27110_81683_18.jpg:  Ok
T727 ges_27110_81684_18.jpg:  Ok
T728 ges_27110_81685_18.jpg:  Ok
T729 ges_27110_81686_18.jpg:  Ok
T730 ges_27110_81687_18.jpg:  Ok
T731 ges_27110_81688_18.jpg:  Ok
T732 ges_27110_81689_18.jpg:  Ok
T733 ges_27110_81690_18.jpg:  Ok
T734 ges_27110_81691_18.jpg:  Ok
T778 ges_27110_81735_18.jpg:  Ok
T856 ges_27111_81735_18.jpg:  Ok
T857 ges_27111_81736_18.jpg:  Ok
T1012 ges_27113_81735_18.jpg:  Ok
T1090 ges_27114_81735_18.jpg:  Ok
T1168 ges_27115_81735_18.jpg:  Ok
T1324 ges_27117_81735_18.jpg:  Ok
T1402 ges_27118_81735_18.jpg:  Ok
T1480 ges_27119_81735_18.jpg:  Ok
T1636 ges_27121_81735_18.jpg:  Ok
T1714 ges_27122_81735_18.jpg:  Ok
T1792 ges_27123_81735_18.jpg:  Ok
T1948 ges_27125_81735_18.jpg:  Ok
T2026 ges_27126_81735_18.jpg:  Ok
T2104 ges_27127_81735_18.jpg:  Ok
T2260 ges_27129_81735_18.jpg:  Ok
T2338 ges_27130_81735_18.jpg:  Ok
T2416 ges_27131_81735_18.jpg:  Ok
T2572 ges_27133_81735_18.jpg:  Ok
T2650 ges_27134_81735_18.jpg:  Ok
T2728 ges_27135_81735_18.jpg:  Ok
T2884 ges_27137_81735_18.jpg:  Ok
T2962 ges_27138_81735_18.jpg:  Ok
T3040 ges_27139_81735_18.jpg:  Ok
T3196 ges_27141_81735_18.jpg:  Ok
T3274 ges_27142_81735_18.jpg:  Ok
T3352 ges_27143_81735_18.jpg:  Ok
T3508 ges_27145_81735_18.jpg:  Ok
T3586 ges_27146_81735_18.jpg:  Ok
T3664 ges_27147_81735_18.jpg:  Ok
T3820 ges_27149_81735_18.jpg:  Ok
T3898 ges_27150_81735_18.jpg:  Ok
T3976 ges_27151_81735_18.jpg:  Ok
T4132 ges_27153_81735_18.jpg:  Ok
T4210 ges_27154_81735_18.jpg:  Ok
T4288 ges_27155_81735_18.jpg:  Ok
T4444 ges_27157_81735_18.jpg:  Ok
T4522 ges_27158_81735_18.jpg:  Ok
T4600 ges_27159_81735_18.jpg:  Ok
T4680 ges_27161_81659_18.jpg:  Ok
T4681 ges_27161_81660_18.jpg:  Ok
T4682 ges_27161_81661_18.jpg:  Ok
T4683 ges_27161_81662_18.jpg:  Ok
T4684 ges_27161_81663_18.jpg:  Ok
T4685 ges_27161_81664_18.jpg:  Ok
T4686 ges_27161_81665_18.jpg:  Ok
T4687 ges_27161_81666_18.jpg:  Ok
T4688 ges_27161_81667_18.jpg:  Ok
T4690 ges_27161_81669_18.jpg:  Ok
T4689 ges_27161_81668_18.jpg:  Ok
T4692 ges_27161_81671_18.jpg:  Ok
T4691 ges_27161_81670_18.jpg:  Ok
T4693 ges_27161_81672_18.jpg:  Ok
T4694 ges_27161_81673_18.jpg:  Ok
T4696 ges_27161_81675_18.jpg:  Ok
T4695 ges_27161_81674_18.jpg:  Ok
T4697 ges_27161_81676_18.jpg:  Ok
T4698 ges_27161_81677_18.jpg:  Ok
T4699 ges_27161_81678_18.jpg:  Ok
T4700 ges_27161_81679_18.jpg:  Ok
T4701 ges_27161_81680_18.jpg:  Ok
T4702 ges_27161_81681_18.jpg:  Ok
T4704 ges_27161_81683_18.jpg:  Ok
T4703 ges_27161_81682_18.jpg:  Ok
T4705 ges_27161_81684_18.jpg:  Ok
T4706 ges_27161_81685_18.jpg:  Ok
T4707 ges_27161_81686_18.jpg:  Ok
T4708 ges_27161_81687_18.jpg:  Ok
T4709 ges_27161_81688_18.jpg:  Ok
T4710 ges_27161_81689_18.jpg:  Ok
T4712 ges_27161_81691_18.jpg:  Ok
T4711 ges_27161_81690_18.jpg:  Ok
T4756 ges_27161_81735_18.jpg:  Ok
T4757 ges_27161_81736_18.jpg:  Ok
T4765 ges_27162_81666_18.jpg:  Ok
T4790 ges_27162_81691_18.jpg:  Ok
T4834 ges_27162_81735_18.jpg:  Ok
T4868 ges_27163_81691_18.jpg:  Ok
T4912 ges_27163_81735_18.jpg:  Ok
T32 ges_27101_81691_18.jpg:  Ok
T266 ges_27104_81691_18.jpg:  Ok
T310 ges_27104_81735_18.jpg:  Ok
T578 ges_27108_81691_18.jpg:  Ok
T622 ges_27108_81735_18.jpg:  Ok
T934 ges_27112_81735_18.jpg:  Ok
T1246 ges_27116_81735_18.jpg:  Ok
T1558 ges_27120_81735_18.jpg:  Ok
T1870 ges_27124_81735_18.jpg:  Ok
T2182 ges_27128_81735_18.jpg:  Ok
T2494 ges_27132_81735_18.jpg:  Ok
T2806 ges_27136_81735_18.jpg:  Ok
T3118 ges_27140_81735_18.jpg:  Ok
T3430 ges_27144_81735_18.jpg:  Ok
T3742 ges_27148_81735_18.jpg:  Ok
T4054 ges_27152_81735_18.jpg:  Ok
T4366 ges_27156_81735_18.jpg:  Ok
T4678 ges_27160_81735_18.jpg:  Ok
T4946 ges_27164_81691_18.jpg:  Ok
T4990 ges_27164_81735_18.jpg:  Ok
T5024 ges_27165_81691_18.jpg:  Ok
T5068 ges_27165_81735_18.jpg:  Ok
T5102 ges_27166_81691_18.jpg:  Ok
T5146 ges_27166_81735_18.jpg:  Ok
T5180 ges_27167_81691_18.jpg:  Ok
T5181 ges_27167_81692_18.jpg:  Ok
T5182 ges_27167_81693_18.jpg:  Ok
T5184 ges_27167_81695_18.jpg:  Ok
T5183 ges_27167_81694_18.jpg:  Ok
T5185 ges_27167_81696_18.jpg:  Ok
T5186 ges_27167_81697_18.jpg:  Ok
T5187 ges_27167_81698_18.jpg:  Ok
T5189 ges_27167_81700_18.jpg:  Ok
T5188 ges_27167_81699_18.jpg:  Ok
T5190 ges_27167_81701_18.jpg:  Ok
T5192 ges_27167_81703_18.jpg:  Ok
T5191 ges_27167_81702_18.jpg:  Ok
T5193 ges_27167_81704_18.jpg:  Ok
T5194 ges_27167_81705_18.jpg:  Ok
T5195 ges_27167_81706_18.jpg:  Ok
T5196 ges_27167_81707_18.jpg:  Ok
T5197 ges_27167_81708_18.jpg:  Ok
T5198 ges_27167_81709_18.jpg:  Ok
T5199 ges_27167_81710_18.jpg:  Ok
T5200 ges_27167_81711_18.jpg:  Ok
T5201 ges_27167_81712_18.jpg:  Ok
T5202 ges_27167_81713_18.jpg:  Ok
T5203 ges_27167_81714_18.jpg:  Ok
T5204 ges_27167_81715_18.jpg:  Ok
T5206 ges_27167_81717_18.jpg:  Ok
T5205 ges_27167_81716_18.jpg:  Ok
T5207 ges_27167_81718_18.jpg:  Ok
T5208 ges_27167_81719_18.jpg:  Ok
T5209 ges_27167_81720_18.jpg:  Ok
T5210 ges_27167_81721_18.jpg:  Ok
T5211 ges_27167_81722_18.jpg:  Ok
T5212 ges_27167_81723_18.jpg:  Ok
T5214 ges_27167_81725_18.jpg:  Ok
T5213 ges_27167_81724_18.jpg:  Ok
T5215 ges_27167_81726_18.jpg:  Ok
T5216 ges_27167_81727_18.jpg:  Ok
T5217 ges_27167_81728_18.jpg:  Ok
T5218 ges_27167_81729_18.jpg:  Ok
T5219 ges_27167_81730_18.jpg:  Ok
T5221 ges_27167_81732_18.jpg:  Ok
T5220 ges_27167_81731_18.jpg:  Ok
T5222 ges_27167_81733_18.jpg:  Ok
T5223 ges_27167_81734_18.jpg:  Ok
T5224 ges_27167_81735_18.jpg:  Ok
T5336 ges_27169_81691_18.jpg:  Ok
T5414 ges_27170_81691_18.jpg:  Ok
T5492 ges_27171_81691_18.jpg:  Ok
T5258 ges_27168_81691_18.jpg:  Ok


