==================================================
Task Execution Time : 2026-05-23 16:17:55
Task Identifier     : USA_G_60_current_0
Requested Target    : current
Actual Capture Date : 2023-10-18
Zoom Level          : 18
Bounding Box (4326) : (np.float64(-115.910568), np.float64(41.38485899380945), np.float64(-115.87941199999999), np.float64(41.41299399382224))
Total Patches Found : 96
--------------------------------------------------
[Original Log Entries]
T48 ges_23338_80603_18.jpg: 2023-10-18 Ok
T49 ges_23338_80604_18.jpg: 2023-10-18 Ok
T50 ges_23338_80605_18.jpg: 2023-10-18 Ok
T51 ges_23338_80606_18.jpg: 2023-10-18 Ok
T52 ges_23338_80607_18.jpg: 2023-10-18 Ok
T53 ges_23338_80608_18.jpg: 2023-10-18 Ok
T54 ges_23338_80609_18.jpg: 2023-10-18 Ok
T55 ges_23338_80610_18.jpg: 2023-10-18 Ok
T56 ges_23338_80611_18.jpg: 2023-10-18 Ok
T57 ges_23338_80612_18.jpg: 2023-10-18 Ok
T58 ges_23338_80613_18.jpg: 2023-10-18 Ok
T59 ges_23338_80614_18.jpg: 2023-10-18 Ok
T60 ges_23339_80603_18.jpg: 2023-10-18 Ok
T61 ges_23339_80604_18.jpg: 2023-10-18 Ok
T62 ges_23339_80605_18.jpg: 2023-10-18 Ok
T63 ges_23339_80606_18.jpg: 2023-10-18 Ok
T64 ges_23339_80607_18.jpg: 2023-10-18 Ok
T65 ges_23339_80608_18.jpg: 2023-10-18 Ok
T66 ges_23339_80609_18.jpg: 2023-10-18 Ok
T67 ges_23339_80610_18.jpg: 2023-10-18 Ok
T68 ges_23339_80611_18.jpg: 2023-10-18 Ok
T69 ges_23339_80612_18.jpg: 2023-10-18 Ok
T70 ges_23339_80613_18.jpg: 2023-10-18 Ok
T71 ges_23339_80614_18.jpg: 2023-10-18 Ok
T85 ges_23341_80604_18.jpg: 2023-10-18 Ok
T86 ges_23341_80605_18.jpg: 2023-10-18 Ok
T88 ges_23341_80607_18.jpg: 2023-10-18 Ok
T87 ges_23341_80606_18.jpg: 2023-10-18 Ok
T89 ges_23341_80608_18.jpg: 2023-10-18 Ok
T90 ges_23341_80609_18.jpg: 2023-10-18 Ok
T91 ges_23341_80610_18.jpg: 2023-10-18 Ok
T92 ges_23341_80611_18.jpg: 2023-10-18 Ok
T93 ges_23341_80612_18.jpg: 2023-10-18 Ok
T94 ges_23341_80613_18.jpg: 2023-10-18 Ok
T95 ges_23341_80614_18.jpg: 2023-10-18 Ok
T96 ges_23342_80603_18.jpg: 2023-10-18 Ok
T97 ges_23342_80604_18.jpg: 2023-10-18 Ok
T98 ges_23342_80605_18.jpg: 2023-10-18 Ok
T99 ges_23342_80606_18.jpg: 2023-10-18 Ok
T100 ges_23342_80607_18.jpg: 2023-10-18 Ok
T101 ges_23342_80608_18.jpg: 2023-10-18 Ok
T102 ges_23342_80609_18.jpg: 2023-10-18 Ok
T103 ges_23342_80610_18.jpg: 2023-10-18 Ok
T104 ges_23342_80611_18.jpg: 2023-10-18 Ok
T105 ges_23342_80612_18.jpg: 2023-10-18 Ok
T106 ges_23342_80613_18.jpg: 2023-10-18 Ok
T107 ges_23342_80614_18.jpg: 2023-10-18 Ok
T108 ges_23343_80603_18.jpg: 2023-10-18 Ok
T109 ges_23343_80604_18.jpg: 2023-10-18 Ok
T110 ges_23343_80605_18.jpg: 2023-10-18 Ok
T111 ges_23343_80606_18.jpg: 2023-10-18 Ok
T112 ges_23343_80607_18.jpg: 2023-10-18 Ok
T113 ges_23343_80608_18.jpg: 2023-10-18 Ok
T114 ges_23343_80609_18.jpg: 2023-10-18 Ok
T115 ges_23343_80610_18.jpg: 2023-10-18 Ok
T116 ges_23343_80611_18.jpg: 2023-10-18 Ok
T117 ges_23343_80612_18.jpg: 2023-10-18 Ok
T118 ges_23343_80613_18.jpg: 2023-10-18 Ok
T119 ges_23343_80614_18.jpg: 2023-10-18 Ok
T132 ges_23345_80603_18.jpg: 2023-10-18 Ok
T133 ges_23345_80604_18.jpg: 2023-10-18 Ok
T134 ges_23345_80605_18.jpg: 2023-10-18 Ok
T136 ges_23345_80607_18.jpg: 2023-10-18 Ok
T135 ges_23345_80606_18.jpg: 2023-10-18 Ok
T137 ges_23345_80608_18.jpg: 2023-10-18 Ok
T138 ges_23345_80609_18.jpg: 2023-10-18 Ok
T139 ges_23345_80610_18.jpg: 2023-10-18 Ok
T140 ges_23345_80611_18.jpg: 2023-10-18 Ok
T141 ges_23345_80612_18.jpg: 2023-10-18 Ok
T142 ges_23345_80613_18.jpg: 2023-10-18 Ok
T143 ges_23345_80614_18.jpg: 2023-10-18 Ok
T72 ges_23340_80603_18.jpg: 2023-10-18 Ok
T73 ges_23340_80604_18.jpg: 2023-10-18 Ok
T74 ges_23340_80605_18.jpg: 2023-10-18 Ok
T75 ges_23340_80606_18.jpg: 2023-10-18 Ok
T76 ges_23340_80607_18.jpg: 2023-10-18 Ok
T77 ges_23340_80608_18.jpg: 2023-10-18 Ok
T78 ges_23340_80609_18.jpg: 2023-10-18 Ok
T79 ges_23340_80610_18.jpg: 2023-10-18 Ok
T80 ges_23340_80611_18.jpg: 2023-10-18 Ok
T81 ges_23340_80612_18.jpg: 2023-10-18 Ok
T82 ges_23340_80613_18.jpg: 2023-10-18 Ok
T83 ges_23340_80614_18.jpg: 2023-10-18 Ok
T84 ges_23341_80603_18.jpg: 2023-10-18 Ok
T120 ges_23344_80603_18.jpg: 2023-10-18 Ok
T121 ges_23344_80604_18.jpg: 2023-10-18 Ok
T122 ges_23344_80605_18.jpg: 2023-10-18 Ok
T123 ges_23344_80606_18.jpg: 2023-10-18 Ok
T124 ges_23344_80607_18.jpg: 2023-10-18 Ok
T125 ges_23344_80608_18.jpg: 2023-10-18 Ok
T126 ges_23344_80609_18.jpg: 2023-10-18 Ok
T127 ges_23344_80610_18.jpg: 2023-10-18 Ok
T128 ges_23344_80611_18.jpg: 2023-10-18 Ok
T129 ges_23344_80612_18.jpg: 2023-10-18 Ok
T130 ges_23344_80613_18.jpg: 2023-10-18 Ok
T131 ges_23344_80614_18.jpg: 2023-10-18 Ok


