==================================================
Task Execution Time : 2026-05-23 17:17:22
Task Identifier     : USA_I_5_current_0
Requested Target    : current
Actual Capture Date : 2024-05-25
Zoom Level          : 18
Bounding Box (4326) : (np.float64(-92.54170399999995), np.float64(47.536383988590714), np.float64(-92.50024799999993), np.float64(47.56575498861849))
Total Patches Found : 192
--------------------------------------------------
[Original Log Entries]
T12 ges_31843_82843_18.jpg: 2024-05-25 Ok
T13 ges_31843_82844_18.jpg: 2024-05-25 Ok
T14 ges_31843_82845_18.jpg: 2024-05-25 Ok
T15 ges_31843_82846_18.jpg: 2024-05-25 Ok
T16 ges_31843_82847_18.jpg: 2024-05-25 Ok
T17 ges_31843_82848_18.jpg: 2024-05-25 Ok
T18 ges_31843_82849_18.jpg: 2024-05-25 Ok
T19 ges_31843_82850_18.jpg: 2024-05-25 Ok
T20 ges_31843_82851_18.jpg: 2024-05-25 Ok
T21 ges_31843_82852_18.jpg: 2024-05-25 Ok
T22 ges_31843_82853_18.jpg: 2024-05-25 Ok
T23 ges_31843_82854_18.jpg: 2024-05-25 Ok
T36 ges_31845_82843_18.jpg: 2024-05-25 Ok
T37 ges_31845_82844_18.jpg: 2024-05-25 Ok
T38 ges_31845_82845_18.jpg: 2024-05-25 Ok
T39 ges_31845_82846_18.jpg: 2024-05-25 Ok
T41 ges_31845_82848_18.jpg: 2024-05-25 Ok
T40 ges_31845_82847_18.jpg: 2024-05-25 Ok
T42 ges_31845_82849_18.jpg: 2024-05-25 Ok
T43 ges_31845_82850_18.jpg: 2024-05-25 Ok
T44 ges_31845_82851_18.jpg: 2024-05-25 Ok
T45 ges_31845_82852_18.jpg: 2024-05-25 Ok
T46 ges_31845_82853_18.jpg: 2024-05-25 Ok
T47 ges_31845_82854_18.jpg: 2024-05-25 Ok
T49 ges_31846_82844_18.jpg: 2024-05-25 Ok
T48 ges_31846_82843_18.jpg: 2024-05-25 Ok
T50 ges_31846_82845_18.jpg: 2024-05-25 Ok
T51 ges_31846_82846_18.jpg: 2024-05-25 Ok
T52 ges_31846_82847_18.jpg: 2024-05-25 Ok
T53 ges_31846_82848_18.jpg: 2024-05-25 Ok
T54 ges_31846_82849_18.jpg: 2024-05-25 Ok
T55 ges_31846_82850_18.jpg: 2024-05-25 Ok
T56 ges_31846_82851_18.jpg: 2024-05-25 Ok
T57 ges_31846_82852_18.jpg: 2024-05-25 Ok
T58 ges_31846_82853_18.jpg: 2024-05-25 Ok
T59 ges_31846_82854_18.jpg: 2024-05-25 Ok
T60 ges_31847_82843_18.jpg: 2024-05-25 Ok
T61 ges_31847_82844_18.jpg: 2024-05-25 Ok
T62 ges_31847_82845_18.jpg: 2024-05-25 Ok
T63 ges_31847_82846_18.jpg: 2024-05-25 Ok
T64 ges_31847_82847_18.jpg: 2024-05-25 Ok
T65 ges_31847_82848_18.jpg: 2024-05-25 Ok
T66 ges_31847_82849_18.jpg: 2024-05-25 Ok
T67 ges_31847_82850_18.jpg: 2024-05-25 Ok
T68 ges_31847_82851_18.jpg: 2024-05-25 Ok
T69 ges_31847_82852_18.jpg: 2024-05-25 Ok
T70 ges_31847_82853_18.jpg: 2024-05-25 Ok
T71 ges_31847_82854_18.jpg: 2024-05-25 Ok
T84 ges_31849_82843_18.jpg: 2024-05-25 Ok
T85 ges_31849_82844_18.jpg: 2024-05-25 Ok
T86 ges_31849_82845_18.jpg: 2024-05-25 Ok
T87 ges_31849_82846_18.jpg: 2024-05-25 Ok
T88 ges_31849_82847_18.jpg: 2024-05-25 Ok
T89 ges_31849_82848_18.jpg: 2024-05-25 Ok
T90 ges_31849_82849_18.jpg: 2024-05-25 Ok
T91 ges_31849_82850_18.jpg: 2024-05-25 Ok
T92 ges_31849_82851_18.jpg: 2024-05-25 Ok
T93 ges_31849_82852_18.jpg: 2024-05-25 Ok
T94 ges_31849_82853_18.jpg: 2024-05-25 Ok
T95 ges_31849_82854_18.jpg: 2024-05-25 Ok
T96 ges_31850_82843_18.jpg: 2024-05-25 Ok
T97 ges_31850_82844_18.jpg: 2024-05-25 Ok
T98 ges_31850_82845_18.jpg: 2024-05-25 Ok
T100 ges_31850_82847_18.jpg: 2024-05-25 Ok
T99 ges_31850_82846_18.jpg: 2024-05-25 Ok
T101 ges_31850_82848_18.jpg: 2024-05-25 Ok
T102 ges_31850_82849_18.jpg: 2024-05-25 Ok
T104 ges_31850_82851_18.jpg: 2024-05-25 Ok
T103 ges_31850_82850_18.jpg: 2024-05-25 Ok
T105 ges_31850_82852_18.jpg: 2024-05-25 Ok
T106 ges_31850_82853_18.jpg: 2024-05-25 Ok
T107 ges_31850_82854_18.jpg: 2024-05-25 Ok
T108 ges_31851_82843_18.jpg: 2024-05-25 Ok
T109 ges_31851_82844_18.jpg: 2024-05-25 Ok
T110 ges_31851_82845_18.jpg: 2024-05-25 Ok
T111 ges_31851_82846_18.jpg: 2024-05-25 Ok
T112 ges_31851_82847_18.jpg: 2024-05-25 Ok
T113 ges_31851_82848_18.jpg: 2024-05-25 Ok
T114 ges_31851_82849_18.jpg: 2024-05-25 Ok
T115 ges_31851_82850_18.jpg: 2024-05-25 Ok
T116 ges_31851_82851_18.jpg: 2024-05-25 Ok
T117 ges_31851_82852_18.jpg: 2024-05-25 Ok
T118 ges_31851_82853_18.jpg: 2024-05-25 Ok
T119 ges_31851_82854_18.jpg: 2024-05-25 Ok
T132 ges_31853_82843_18.jpg: 2024-05-25 Ok
T134 ges_31853_82845_18.jpg: 2024-05-25 Ok
T133 ges_31853_82844_18.jpg: 2024-05-25 Ok
T135 ges_31853_82846_18.jpg: 2024-05-25 Ok
T136 ges_31853_82847_18.jpg: 2024-05-25 Ok
T137 ges_31853_82848_18.jpg: 2024-05-25 Ok
T138 ges_31853_82849_18.jpg: 2024-05-25 Ok
T140 ges_31853_82851_18.jpg: 2024-05-25 Ok
T139 ges_31853_82850_18.jpg: 2024-05-25 Ok
T141 ges_31853_82852_18.jpg: 2024-05-25 Ok
T142 ges_31853_82853_18.jpg: 2024-05-25 Ok
T143 ges_31853_82854_18.jpg: 2024-05-25 Ok
T144 ges_31854_82843_18.jpg: 2024-05-25 Ok
T145 ges_31854_82844_18.jpg: 2024-05-25 Ok
T146 ges_31854_82845_18.jpg: 2024-05-25 Ok
T147 ges_31854_82846_18.jpg: 2024-05-25 Ok
T148 ges_31854_82847_18.jpg: 2024-05-25 Ok
T149 ges_31854_82848_18.jpg: 2024-05-25 Ok
T150 ges_31854_82849_18.jpg: 2024-05-25 Ok
T151 ges_31854_82850_18.jpg: 2024-05-25 Ok
T152 ges_31854_82851_18.jpg: 2024-05-25 Ok
T153 ges_31854_82852_18.jpg: 2024-05-25 Ok
T154 ges_31854_82853_18.jpg: 2024-05-25 Ok
T155 ges_31854_82854_18.jpg: 2024-05-25 Ok
