ICMMID,Confidence.Factor,Mine.Name,Group.Names,Latitude,Longitude,Asset.Type,Country.or.Region,Primary.Commodity,Secondary.Commodity,Other.Commodities
ICMM00026,Very Low,Pato,Pato;Pato Consolidated Dredging Co.,7.6053499999999996,-74.8011,Mine,Colombia,gold,silver,NA
ICMM00027,Very Low,El Bagre,NA,7.6086999999999998,-74.8547,Mine,Colombia,gold,silver,NA
ICMM00033,Moderate,El Grillero,El Grillero;El Grillero,7.4491649999999998,-62.982965,Mine,Venezuela,gold,NA,NA
ICMM00034,Very Low,El Carmen,NA,7.4431399999999996,-61.7558,Mine,Venezuela,gold,NA,NA
ICMM00038,Very Low,Santa Ana,Santa Ana;Mina A;La Loca;El Roble;Talisman,7.405424,-61.81622,Mine,Venezuela,gold,NA,NA
ICMM00047,Moderate,El Callao,El Callao;Laguna Mine Santa Rita;Peru;El Callao Gold District;Mina Isidora,7.3150740000000001,-61.840254,Mine,Venezuela,gold,tungsten,NA
ICMM00048,Moderate,Mina Colombia,Mina Colombia;Mocupia;Colombia;Sosa Mendez;Revemin Plant,7.3174659999999996,-61.799958,Mine,Venezuela,gold,arsenic,NA
ICMM00056,Very Low,Purgatorio,NA,7.1892699999999996,-60.6905,Mine,Venezuela,copper,gold,NA
ICMM00065,Very Low,El Silencio Mine,NA,7.1012300000000002,-74.683,Mine,Colombia,gold,zinc,NA
ICMM00086,Very Low,Payapal,NA,6.8198400000000001,-61.7472,Mine,Venezuela,gold,NA,NA
ICMM00097,Moderate,La Camorra,La Camorra;La Camorra,6.7613649999999996,-61.545855,Mine;Plant,Venezuela,gold,NA,NA
ICMM00147,Very Low,Northwest San Rafael Mines,NA,6.3679699999999997,-75.0497,Mine,Colombia,silver,NA,NA
ICMM00151,Very Low,El Chivao Placers,NA,6.2881999999999998,-61.8485,Mine,Venezuela,gold,NA,NA
ICMM00164,Very Low,Rio Cuyuni Rio Uey,NA,6.0909700000000004,-61.5716,Mine,Venezuela,gold,NA,NA
ICMM00165,Very Low,El Zancudo Mines,NA,6.0846099999999996,-75.7664,Mine,Colombia,gold,NA,NA
ICMM00175,Very Low,Hicks Vein,NA,5.6018499999999998,-59.0418,Mine,Guyana,gold,NA,NA
ICMM00182,High,Marmato Mines,Marmato Mines;Cerro Del Burro;Marmato Echandia Mines;Marmato;Marmato;Zona Baja,5.4742768499999999,-75.60808593,Mine,Colombia,gold,silver,zinc
ICMM00183,High,Omai Property,Omai Property;Omai Gold Mines Ltd.;Karouni;Omai,5.4462483690000001,-58.75444986,Mine,Guyana,gold,NA,NA
ICMM00208,Very Low,Adieu Vat,NA,4.86883,-53.0059,Mine,French Guiana,gold,NA,NA
ICMM00211,Very Low,Chantiers Pepita Victoire Babinsky Joyeuse,NA,4.8310500000000003,-53.29,Mine,French Guiana,gold,NA,NA
ICMM00214,Very Low,Crique Animal,NA,4.7316099999999999,-53.7795,Mine,French Guiana,gold,NA,NA
ICMM00233,Very Low,Sara Kreek,NA,4.4013499999999999,-54.6992,Mine,Suriname,gold,NA,NA
ICMM00241,Very Low,Felix,Felix;Saint Leon,3.88096,-53.37075,Mine,French Guiana,gold,NA,NA
ICMM00249,Very Low,Rufin Valley,NA,3.6513900000000001,-54.0992,Mine,Suriname,gold,NA,NA
ICMM00252,Very Low,Cano Yagua,NA,3.5611299999999999,-66.5573,Mine,Venezuela,gold,NA,NA
ICMM00254,Very Low,La Palestina,NA,3.4194800000000001,-75.4775,Mine,Colombia,barium,NA,NA
ICMM00264,Moderate,Salamangone,Salamangone;Novo Astro,2.3090649999999999,-51.632915,Mine,Brazil,gold,NA,NA
ICMM00291,Very Low,Agua Branca,NA,-0.46505000000000002,-59.9327,Mine,Brazil,tin,NA,NA
ICMM00295,Very Low,Cariri,NA,-0.99834999999999996,-62.8994,Mine,Brazil,tin,NA,NA
ICMM00314,Moderate,Leon,Leon;Rio Chico,-2.9829599999999998,-79.70091,Mine,Ecuador,gold,NA,NA
ICMM00317,Moderate,Pinglio 1,Pinglio 1;Pinglio Pinglio Uno,-3.00773,-79.63055,Mine,Ecuador,gold,NA,NA
ICMM00320,Very Low,Gigantones,NA,-3.1857500000000001,-79.554,Mine,Ecuador,gold,NA,NA
ICMM00324,Very Low,Bertha,NA,-3.37324,-78.5831,Mine,Ecuador,barium,NA,NA
ICMM00329,Moderate,Portovelo Gold Mines,Portovelo Gold Mines;Grand,-3.64046,-79.5893,Mine,Ecuador,gold,lead,copper;cadmium
ICMM00330,Moderate,Portovelo,Portovelo;Zaruma;Minanca;American Mine;Miranda Alto;Vizcaya,-3.701568333,-79.61761833,Mine,Ecuador,gold,silver,lead;copper;zinc
ICMM00334,Moderate,Campanilla,Campanilla;Nambija District;Campanilla,-4.0475199999999996,-78.79144333,Mine,Ecuador,copper,gold,NA
ICMM00335,Very Low,Itaiutuba Mine,NA,-4.0338799999999999,-53.1227,Mine,Brazil,tin,NA,NA
ICMM00340,Very Low,Quixeramobim,NA,-5.3814099999999998,-39.1489,Mine,Brazil,lithium,NA,NA
ICMM00341,Very Low,Bonfim,NA,-5.5814199999999996,-36.6656,Mine,Brazil,tungsten,NA,NA
ICMM00343,Very Low,Saco Sao Vicente,NA,-5.6814200000000001,-36.7989,Mine,Brazil,tungsten,NA,NA
ICMM00345,Very Low,Cafuca,NA,-5.7439099999999996,-36.3542,Mine,Brazil,tungsten,NA,NA
ICMM00346,Very Low,Abrigo,NA,-5.7647500000000003,-36.7656,Mine,Brazil,tungsten,NA,NA
ICMM00349,Very Low,Fazenda Bonfim Tungsten I,NA,-5.83141,-36.1156,Mine,Brazil,tungsten,NA,NA
ICMM00351,Very Low,Boqueirao,NA,-5.8480699999999999,-36.0822,Mine,Brazil,tungsten,NA,NA
ICMM00352,Very Low,Sao Raimundo,NA,-5.8480999999999996,-52.4825,Mine,Brazil,tin,NA,NA
ICMM00353,Very Low,"Pindoba, Mazagao",NA,-5.8647499999999999,-36.9156,Mine,Brazil,tungsten,NA,NA
ICMM00355,Very Low,"Chupador, Trapia, Cacador",NA,-5.8814000000000002,-36.2822,Mine,Brazil,tungsten,NA,NA
ICMM00358,Very Low,Louros Mine Tungsten,NA,-5.9647399999999999,-36.0655,Mine,Brazil,tungsten,NA,NA
ICMM00359,Moderate,"Queimada, Riachao","Queimada, Riachao;Bodo",-5.9866999999999999,-36.4148,Mine,Brazil,tungsten,NA,NA
ICMM00361,Very Low,"Saco Dos Cavalos, Agua Fria",NA,-6.0147399999999998,-37.0989,Mine,Brazil,tungsten,NA,NA
ICMM00362,Very Low,Fazenda Muricio,NA,-6.0605900000000004,-49.7719,Mine,Brazil,gold,NA,NA
